id,Logbook type,Päivämäärä,Tunnus,Tyyppi,Lähtökenttä,Laskukenttä,Off Block,Lähtöaika,Laskuaika,On Block,Takeoff-landing flight time,Block flight time,Laskuja päivällä,Laskuja yöllä,Pilot config,Engine config,Yölentoaika,Mittarilentoaika,PIC,Copilot,Opettaja,Oppilas,Lähtötapa,Irroituskorkeus,Max korkeus,Matka km,Moott.p.,Lentotyyppi,Omat muistiinpanot
59210,easa,04.02.2025,OH-CMU,C152,EFHV,EFHV,12:05,12:14,13:00,13:02,46,57,5,0,1,1,0,0,1,,,,,,,,,HAR,
59119,easa,04.01.2025,OH-CAM,C172,EFHV,EFHV,13:27,13:37,13:42,13:45,5,18,1,0,1,1,0,0,1,,,,,,,,,HAR,
59120,easa,04.01.2025,OH-CAM,C172,EFHV,EFHV,14:08,14:15,15:06,15:07,51,59,1,0,1,1,0,0,1,,,,,,,,,MAT,
58996,easa,10.12.2024,OH-CAM,C172,EFHV,EFHV,10:55,11:05,11:39,11:41,34,46,3,0,1,1,0,0,1,,,,,,,,,HAR,
58457,easa,17.10.2024,OH-CAM,C172,EFHV,EFNU,11:35,11:39,12:01,12:04,22,29,1,0,1,1,0,0,1,,,,,,,,,MAT,
58458,easa,17.10.2024,OH-CAM,C172,EFNU,EFJO,12:15,12:19,14:19,14:21,120,126,1,0,1,1,0,0,1,,,,,,,,,MAT,
58459,easa,17.10.2024,OH-CAM,C172,EFJO,EFHV,15:00,15:07,17:32,17:35,145,155,1,0,1,1,0,0,1,,,,,,,,,MAT,
57012,easa,20.08.2024,OH-CTL,C172M,Tuusula,Hiidenvesi,18:50,18:58,19:25,19:30,27,40,2,0,1,1,0,0,1,,,,,,,,,LASKUTETTAVA,
58110,easa,15.08.2024,OH-CTL,C172M,Tuusula,Tuusula,13:30,13:39,14:29,14:35,50,65,12,0,1,1,0,0,1,,,,,,,,,LASKUTETTAVA,
55341,easa,21.07.2024,OH-CTL,C172M,Tuusula,Pulkkilanharju,15:39,15:45,16:35,16:36,50,57,1,0,1,1,0,0,1,,,,,,,,,LASKUTETTAVA,
55342,easa,21.07.2024,OH-CTL,C172M,Pulkkilanharju,Tuusula,20:53,20:58,21:32,21:40,34,47,1,0,1,1,0,0,1,,,,,,,,,LASKUTETTAVA,
54606,easa,08.07.2024,OH-CTL,C172M,Hiidenvesi,Tuusula,20:51,20:53,21:14,21:16,21,25,2,0,1,1,0,0,1,,,,,,,,,LASKUTETTAVA,
54580,easa,05.07.2024,OH-CTL,C172M,Tuusula,Pulkkilanharju,17:16,17:25,17:58,18:00,33,44,1,0,1,1,0,0,1,,,,,,,,,LASKUTETTAVA,
54581,easa,05.07.2024,OH-CTL,C172M,Kahvisaari,Tuusula,21:11,21:14,21:46,21:50,32,39,1,0,1,1,0,0,1,,,,,,,,,LASKUTETTAVA,
54101,easa,25.06.2024,OH-CTL,C172M,Tuusula,Kahvisaari,15:18,15:25,15:53,15:58,28,40,1,0,1,1,0,0,1,,,,,,,,,LASKUTETTAVA,
54102,easa,25.06.2024,OH-CTL,C172M,Kahvisaari,Tuusula,17:20,17:26,17:58,18:03,32,43,3,0,1,1,0,0,1,,,,,,,,,LASKUTETTAVA,
51892,easa,30.04.2024,OH-CAM,C172,EFTP,EFHV,16:39,16:44,17:36,17:40,52,61,2,0,1,1,0,25,1,,,,,,,,,HAR,
51408,easa,28.03.2024,OH-CAM,C172,EFHV,EFHV,16:47,16:54,17:31,17:37,37,50,3,0,1,1,0,0,1,,,,,,,,,HAR,
51270,easa,05.03.2024,OH-CGX,C172,EFHV,EFHV,12:13,12:17,12:37,12:39,20,26,4,0,1,1,0,0,1,,,,,,,,,HAR,
51271,easa,05.03.2024,OH-CMU,C152,EFHV,EFHV,19:32,19:36,19:52,19:55,16,23,0,3,1,1,0,0,1,,,,,,,,,HAR,
51106,easa,09.02.2024,OH-AWB,C152,EFHV,EFHV,20:16,20:22,20:53,20:55,31,39,0,5,1,1,31,0,1,,,,,,,,,HAR,
51108,easa,08.02.2024,OH-AWB,C152,EFHV,EFHV,08:15,08:22,08:47,08:49,25,34,6,0,1,1,,0,1,,,,,,,,,HAR,
50993,easa,16.01.2024,OH-AWB,C152,EFHV,EFHV,14:30,14:36,15:17,15:19,41,49,1,0,1,1,0,0,1,,,,,,,,,HAR,
50898,easa,28.12.2023,OH-CGX,C172,EFHV,EFHV,11:34,11:40,12:22,12:24,42,50,3,0,1,1,0,0,1,,,,,,,,,HAR,
50896,easa,27.12.2023,OH-CGX,C172,EFHV,EFHV,12:22,12:30,12:35,12:37,5,15,1,0,1,1,0,0,1,,,,,,,,,HAR,
50897,easa,27.12.2023,OH-CGX,C172,EFHV,EFHV,12:45,12:53,13:03,13:05,10,20,1,0,1,1,0,0,1,,,,,,,,,HAR,
50848,easa,17.12.2023,OH-AWB,C152,EFHV,EFHV,12:27,12:37,12:51,12:55,14,28,3,0,1,1,0,0,1,,,,,,,,,HAR,
50628,easa,29.10.2023,OH-CGX,C172,efhv,efhv,12:31,12:40,13:38,13:40,58,69,5,0,1,1,0,0,1,,,,,,,,,HAR,
50581,easa,26.10.2023,OH-CGX,C172,EFHV,EFHV,08:55,09:03,09:58,10:01,55,66,6,0,1,1,0,0,1,,,,,,,,,HAR,
50582,easa,26.10.2023,OH-CGX,C172,EFHV,EFHV,10:25,10:41,12:00,12:05,79,100,5,0,1,1,0,0,1,,,,,,,,,HAR,
49833,easa,18.09.2023,OH-CTL,C172M,Tuusula,Tuusula,16:13,16:23,17:17,17:38,54,85,5,0,1,1,0,0,1,,,,,,,,,LASKUTETTAVA,
49439,easa,07.09.2023,OH-CTL,C172M,Tuusula,Tuusula,17:51,18:04,19:00,19:11,56,80,6,0,1,1,0,0,1,,,,,,,,,LASKUTETTAVA,
49437,easa,04.09.2023,OH-CTL,C172M,Tuusula,Kahvisaari,11:25,11:43,12:08,12:15,25,50,1,0,1,1,0,0,1,,,,,,,,,LASKUTETTAVA,
49438,easa,04.09.2023,OH-CTL,C172M,Kahvisaari,Tuusula,16:53,16:56,17:27,17:35,31,42,1,0,1,1,0,0,1,,,,,,,,,LASKUTETTAVA,
49071,easa,20.08.2023,OH-CTL,C172M,Tuuulanjärvi,Tuusulanjärvi,19:47,19:53,20:31,20:47,38,60,5,0,1,1,0,0,1,,,,,,,,,LASKUTETTAVA,
49069,easa,19.08.2023,OH-CTL,C172M,Ranua,Viitasaari,11:58,12:07,14:13,14:21,126,143,1,0,1,1,0,0,1,,,,,,,,,LASKUTETTAVA,
49070,easa,19.08.2023,OH-CTL,C172M,Kahvisaari,Tuusulanjärvi,18:00,18:05,18:33,18:37,28,37,1,0,1,1,0,0,1,,,,,,,,,LASKUTETTAVA,
48646,easa,05.08.2023,OH-CTL,C172M,Tuusula,Kahvisaari,11:10,11:18,12:24,12:30,66,80,5,0,1,1,0,0,1,,,,,,,,,LASKUTETTAVA,
48645,easa,18.07.2023,OH-CTL,C172M,Tuusula,Tuusula,18:00,18:13,19:04,19:08,51,68,5,0,1,1,0,0,,,1,,,,,,,LASKUTETTAVA,Lasku Zack Bloomille
47113,easa,29.06.2023,OH-CAY,C172,EFHV,EFHV,13:06,13:10,13:28,13:31,18,25,3,0,1,1,0,0,1,,,,,,,,,HAR,
46149,easa,06.06.2023,OH-CTL,C172M,Tuusula,Pellinki,18:30,18:39,19:21,19:25,42,55,3,0,1,1,0,0,1,,,,,,,,,LASKUTETTAVA,
46150,easa,06.06.2023,OH-CTL,C172M,Pellinki,Tuusula,19:59,20:03,20:28,20:35,25,36,1,0,1,1,0,0,1,,,,,,,,,LASKUTETTAVA,
45664,easa,21.05.2023,OH-CTL,C172M,Leikonvesi,Siltasaari,10:20,10:26,11:30,11:40,64,80,1,0,1,1,0,0,1,,,,,,,,,LASKUTETTAVA,
45665,easa,21.05.2023,OH-CTL,C172M,Siltasaari,Tuusulanjärvi,12:33,12:40,13:25,13:40,45,67,1,0,1,1,0,0,1,,,,,,,,,LASKUTETTAVA,
45661,easa,19.05.2023,OH-CTL,C172M,Tuusula,Anttola,13:47,13:52,15:09,15:15,77,88,1,0,1,1,0,0,1,,,,,,,,,LASKUTETTAVA,
45662,easa,19.05.2023,OH-CTL,C172M,Anttola,Leikonvesi,16:56,17:01,17:27,17:30,26,34,1,0,1,1,0,0,1,,,,,,,,,LASKUTETTAVA,
45398,easa,12.05.2023,OH-CTL,C172M,Laajasalo,Laajasalo,10:29,10:30,10:56,11:03,26,34,12,0,1,1,0,0,,,,1,,,,,,LASKUTETTAVA,
45153,easa,07.05.2023,OH-CTL,C172M,Kabböle,Laajasalo,16:44,16:47,17:18,17:25,31,41,1,0,1,1,0,0,1,,,,,,,,,LASKUTETTAVA,
