"Date","Aircraft_Type","Aircraft_Reg","Departure","Arrival","Off_Block","On_Block","Takeoff","Landing","Block_Time","Total_Time","Instrument_Time","Night_Time","PIC_Time","Student_Time","Instructor_Time","pic_name","Landings","Remarks","Cumulative_Total","Cumulative_PIC","Cumulative_Student","Cumulative_Instrument","Cumulative_SEP_Sea","Cumulative_Landings","Cumulative_Instructor"
"12/06/2022","P28A","OH-PDP","EFNU","EFNU","18:00Z","19:02Z","","","1:02","1:02","","","1:02","","","self","4","","857:58","701:25","156:33","71:02","227:23","2177","73:55"
"20/06/2022","C172","OH-CGX","EFHV","EFNU","17:24Z","17:52Z","","","0:28","0:28","","","0:28","","","self","1","","858:26","701:53","156:33","71:02","227:23","2178","73:55"
"20/06/2022","C172","OH-CGX","EFNU","EFHV","18:08Z","18:33Z","","","0:25","0:25","","","0:25","","","self","1","","858:51","702:18","156:33","71:02","227:23","2179","73:55"
"22/06/2022","C172","OH-CTL","Tuusulanjärvi","Tuusulanjärvi","18:20Z","19:40Z","","","1:20","1:20","","","1:20","","1:20","self","6","","860:11","703:38","156:33","71:02","228:43","2185","75:15"
"29/06/2022","P28A","OH-PDP","EFHV","EFHV","18:11Z","18:52Z","","","0:41","0:41","","","0:41","","","self","1","","860:52","704:19","156:33","71:02","228:43","2186","75:15"
"30/06/2022","SR20","OH-ESR","EFNU","EFNU","16:35Z","18:45Z","","","2:10","2:10","0:30","","2:10","","","self","3","","863:02","706:29","156:33","71:32","228:43","2189","75:15"
"01/07/2022","P28A","OH-PDP","EFHV","EFLA","10:05Z","10:35Z","","","0:30","0:30","","","0:30","","","self","1","","863:32","706:59","156:33","71:32","228:43","2190","75:15"
"01/07/2022","P28A","OH-PDP","EFLA","EFHV","11:07Z","11:42Z","","","0:35","0:35","","","0:35","","","self","1","","864:07","707:34","156:33","71:32","228:43","2191","75:15"
"04/07/2022","C172","OH-CTL","Tuusulanjärvi","Tuusulanjärvi","19:35Z","20:45Z","","","1:10","1:10","","","1:10","","","self","6","","865:17","708:44","156:33","71:32","229:53","2197","75:15"
"05/07/2022","P28A","OH-TIL","EFTP","EFTP","20:06Z","20:28Z","","","0:22","0:22","","","","0:22","","Salo","3","","865:39","708:44","156:55","71:32","229:53","2200","75:15"
"06/07/2022","SR20","OH-ESR","EFNU","EFTU","15:54Z","16:38Z","","","0:44","0:44","0:44","","0:44","","","self","1","","866:23","709:28","156:55","72:16","229:53","2201","75:15"
"06/07/2022","SR20","OH-ESR","EFTU","EFNU","18:41Z","19:28Z","","","0:47","0:47","0:47","","0:47","","","self","1","","867:10","710:15","156:55","73:03","229:53","2202","75:15"
"17/07/2022","P28A","OH-PDP","EFHV","EFHV","18:01Z","18:36Z","","","0:35","0:35","","","0:35","","","self","2","","867:45","710:50","156:55","73:03","229:53","2204","75:15"
"21/07/2022","C185","OH-CDK","Papinluoto","Astuvansalmi","07:53Z","08:53Z","","","1:00","1:00","","","1:00","","","self","1","","868:45","711:50","156:55","73:03","230:53","2205","75:15"
"21/07/2022","C185","OH-CDK","Astuvansalmi","Savonlinna","09:32Z","10:15Z","","","0:43","0:43","","","0:43","","","self","1","","869:28","712:33","156:55","73:03","231:36","2206","75:15"
"21/07/2022","C185","OH-CDK","Savonlinna","Leikonvesi","12:38Z","13:01Z","","","0:23","0:23","","","0:23","","","self","1","","869:51","712:56","156:55","73:03","231:59","2207","75:15"
"23/07/2022","C185","OH-CDK","Leikonvesi","Papinluoto","05:34Z","06:10Z","","","0:36","0:36","","","0:36","","","self","1","","870:27","713:32","156:55","73:03","232:35","2208","75:15"
"01/08/2022","C172","OH-CTL","Tuusula","Tuusula","10:44Z","11:55Z","","","1:11","1:11","","","1:11","","1:11","self","6","","871:38","714:43","156:55","73:03","233:46","2214","76:26"
"05/08/2022","P28A","OH-PDP","EFHV","EFRY","11:35Z","12:02Z","","","0:27","0:27","","","0:27","","","self","1","","872:05","715:10","156:55","73:03","233:46","2215","76:26"
"05/08/2022","P28A","OH-PDP","EFRY","EFHV","12:17Z","12:47Z","","","0:30","0:30","","","0:30","","","self","2","","872:35","715:40","156:55","73:03","233:46","2217","76:26"
