date,reg,dep,arr,off,on,block,air,ldg,id
28/08/2021,OH-GKT,Virtosaari,Kahvisaari,11:38,12:15,0:37,0:26,3,20069
03/09/2021,OH-DBE,EFLA,EFKU,11:03,13:07,2:04,1:55,1,20291
03/09/2021,OH-TIL,EFKU,EFLA,13:52,15:28,1:36,1:18,1,20334
20/09/2021,OH-TIL,EFLA,EFIM,11:04,12:49,1:45,1:27,2,20557
20/09/2021,OH-TIL,EFIM,EFLA,14:58,15:58,1:00,0:53,1,20559
09/08/2022,OH-PIF,EFLA,EFLA,15:38,16:55,1:17,1:09,2,24064
10/08/2022,OH-PIF,EFLA,EFLA,13:20,15:15,1:55,1:48,2,24077
14/07/2023,OH-PIF,EFLA,EFLA,12:43,14:50,2:07,2:00,3,27861
15/08/2023,OH-PIF,EFLA,EFLA,12:20,13:55,1:35,1:25,1,28857
04/09/2023,OH-GKT,Kahvisaari,Kahvisaari,11:05,12:10,1:05,0:47,6,29235
30/05/2024,OH-GKT,Lieso,Lieso,16:05,17:05,1:00,0:48,7,30922
07/06/2024,OH-GKT,LIESO,VÄÄKSY,06:40,07:15,0:35,0:20,1,31062
07/06/2024,OH-GKT,vääksy,lietsaarj,07:53,08:23,0:30,0:25,5,31063
07/06/2024,OH-GKT,Lietsaari,Lieso,08:39,09:37,0:58,0:54,4,31064
28/06/2024,OH-GKT,Lieso,Padasjoki,08:03,08:37,0:34,0:22,1,31452
28/06/2024,OH-GKT,Padasjoki,Kahvisaari,09:39,10:06,0:27,0:21,4,31453
28/06/2024,OH-GKT,Kahvisaari,Lieso,10:42,11:12,0:30,0:22,1,31454
12/07/2024,OH-GKT,Kahvisaari,Kelvenne,15:30,16:10,0:40,0:22,2,31917
12/07/2024,OH-GKT,Kelvenne,Kahvisaari,17:00,17:45,0:45,0:37,7,31918
17/07/2024,OH-GKT,Kahvisaari,Mäntyharju,13:22,14:17,0:55,0:44,1,32033
17/07/2024,OH-GKT,Mäntyharju,Leikonvesi,15:09,16:10,1:01,0:48,1,32034
18/07/2024,OH-GKT,Leikonvesi,Leikonvesi,07:35,08:05,0:30,0:16,2,32035
18/07/2024,OH-GKT,Leikonvesi,Leikonvesi,08:42,09:10,0:28,0:16,2,32036
19/07/2024,OH-GKT,Leikovesi,Kahvisaari,11:40,13:09,1:29,1:16,1,32037
04/09/2024,OH-GKT,Kahvisaari,Asikkala,13:30,14:30,1:00,0:48,8,32999
